TotalWorkExperienceInYears,ExperienceYearsAtThisCompany,EmpEnvironmentSatisfaction,OverTime,EmpLastSalaryHikePercent,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationBackground_Other,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Sales,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Manager,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,PerformanceRating
0.17857142857142855,0.2,3,0,14,3,2,1,3,False,False,False,True,False,False,False,False,True,3
0.17857142857142855,0.25,2,1,11,3,4,1,3,False,False,False,True,False,False,False,False,True,2
0.07142857142857142,0.1,4,0,18,2,2,2,1,False,False,False,False,False,False,False,True,False,3
0.21428571428571427,0.25,1,0,19,3,2,0,2,False,False,False,True,False,False,False,False,True,4
0.03571428571428571,0.05,3,0,18,3,0,0,0,False,False,False,True,False,False,False,False,False,3
0.8928571428571428,0.05,2,0,17,3,0,0,0,False,True,False,False,False,False,False,False,False,3
0.14285714285714285,0.15000000000000002,3,1,13,2,2,1,2,False,False,False,True,False,False,False,False,True,3
0.25,0.1,3,0,18,3,1,2,2,False,False,False,True,False,False,False,False,True,3
0.25,0.2,4,1,11,4,3,0,3,False,False,False,False,False,False,False,False,False,3
0.17857142857142855,0.2,1,0,18,2,2,1,3,True,True,False,False,True,False,False,False,False,3
0.03571428571428571,0.05,3,0,25,3,1,0,0,False,False,False,False,False,False,False,True,False,4
0.3214285714285714,0.25,3,0,18,3,1,1,2,False,False,False,False,False,False,False,False,False,3
0.3571428571428571,0.25,4,0,12,2,10,15,6,False,True,False,False,True,False,False,False,False,3
0.3571428571428571,0.5,4,0,11,4,9,9,4,False,False,False,False,False,False,False,False,False,3
0.3571428571428571,0.45,2,0,20,3,5,8,7,False,False,False,True,False,False,False,False,True,2
0.3214285714285714,0.25,4,1,11,3,3,1,4,False,True,False,False,True,False,False,False,False,3
0.3571428571428571,0.45,3,0,15,3,7,0,5,True,True,False,False,True,False,False,False,False,3
0.3571428571428571,0.25,1,0,11,1,8,11,10,False,True,False,False,True,False,False,False,False,3
0.25,0.15000000000000002,1,0,13,2,2,1,2,False,False,False,False,False,False,False,True,False,2
0.3571428571428571,0.5,2,0,18,3,2,0,7,False,True,False,False,True,False,False,False,False,3
0.46428571428571425,0.55,1,0,13,3,10,3,8,False,False,False,False,False,False,False,False,False,2
0.5357142857142857,0.75,4,0,24,2,12,11,11,False,False,False,True,False,False,False,False,True,4
0.3571428571428571,0.1,1,0,11,4,2,0,2,False,False,False,False,False,False,False,False,False,3
